epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,765.109,1.08084,2.77111,1.39117,0.43749,0.23312,0.23474,0.14859,1.35151,3.21576,1.62236,0.0003636,0.0003636,0.0003636
2,1062.73,1.1688,2.29671,1.43994,0.23543,0.38206,0.2698,0.1659,1.35219,3.33383,1.71543,0.000719401,0.000719401,0.000719401
3,1363.05,1.19729,2.25079,1.46933,0.36769,0.267,0.29818,0.16811,1.53526,3.14332,1.96774,0.00106054,0.00106054,0.00106054
4,2610.96,1.21363,2.14546,1.4813,0.23309,0.40762,0.27005,0.12979,1.60006,3.47866,2.04804,0.00104501,0.00104501,0.00104501
5,2989.09,1.21211,2.04194,1.47682,0.73503,0.13738,0.17798,0.09588,1.78819,3.59418,2.09934,0.00102301,0.00102301,0.00102301
6,3386.42,1.19048,1.96434,1.44278,0.29295,0.4306,0.35011,0.20897,1.49629,2.65459,1.84567,0.00100101,0.00100101,0.00100101
7,3764,1.15052,1.84653,1.43719,0.22325,0.32124,0.21213,0.11446,1.53315,2.9887,1.96889,0.000979013,0.000979013,0.000979013
8,4142.79,1.14997,1.75922,1.42566,0.56752,0.3854,0.41592,0.2584,1.46349,2.59072,1.80783,0.000957015,0.000957015,0.000957015
9,4522.61,1.13526,1.67819,1.41481,0.51146,0.44538,0.47077,0.30181,1.32891,2.18521,1.68154,0.000935018,0.000935018,0.000935018
10,4887.58,1.10081,1.60223,1.38427,0.52215,0.42961,0.46845,0.30951,1.34602,2.04918,1.69653,0.00091302,0.00091302,0.00091302
11,5262.95,1.09487,1.59111,1.38857,0.51343,0.35689,0.36571,0.23569,1.39062,2.52103,1.80572,0.000891022,0.000891022,0.000891022
12,5635.79,1.0837,1.52318,1.37602,0.49892,0.46063,0.43885,0.26311,1.41655,2.27809,1.83636,0.000869024,0.000869024,0.000869024
13,6010,1.07432,1.49609,1.36421,0.64055,0.46819,0.5263,0.34294,1.29388,1.99708,1.61948,0.000847026,0.000847026,0.000847026
14,6385.06,1.01064,1.37567,1.32783,0.45969,0.56709,0.51916,0.34373,1.32749,1.93064,1.65298,0.000825029,0.000825029,0.000825029
15,6759.22,1.00968,1.36462,1.31627,0.68949,0.45212,0.53095,0.34431,1.29593,1.99421,1.64102,0.000803031,0.000803031,0.000803031
16,7126.22,1.00498,1.31629,1.31617,0.57179,0.44597,0.50253,0.35307,1.31007,1.82701,1.66696,0.000781033,0.000781033,0.000781033
17,7493.72,0.98542,1.28173,1.29797,0.62521,0.54855,0.54961,0.38525,1.22162,1.75068,1.56862,0.000759035,0.000759035,0.000759035
18,7860.09,0.95739,1.22271,1.27208,0.60855,0.47572,0.50892,0.33928,1.31332,1.87122,1.67722,0.000737037,0.000737037,0.000737037
19,8218.21,0.97142,1.22856,1.28877,0.59582,0.4483,0.52085,0.32507,1.33587,1.85768,1.72265,0.00071504,0.00071504,0.00071504
20,8555.64,0.93024,1.17799,1.26322,0.59703,0.56257,0.57524,0.41575,1.20656,1.67401,1.5577,0.000693042,0.000693042,0.000693042
21,18459,0.92038,1.15603,1.26706,0.62175,0.53752,0.54639,0.36073,1.24833,1.72084,1.5768,0.000671044,0.000671044,0.000671044
22,18814.5,0.92496,1.15252,1.26838,0.66576,0.5126,0.55176,0.39058,1.29383,1.70346,1.60195,0.000649046,0.000649046,0.000649046
23,19172.3,0.89482,1.09696,1.2363,0.7329,0.45015,0.57077,0.4042,1.25843,1.63035,1.60457,0.000627048,0.000627048,0.000627048
24,19543,0.87231,1.03822,1.21785,0.62822,0.51923,0.55725,0.39627,1.2215,1.69018,1.56349,0.000605051,0.000605051,0.000605051
25,19906.2,0.87446,1.03115,1.22554,0.67923,0.4495,0.54098,0.38547,1.20015,1.74022,1.54519,0.000583053,0.000583053,0.000583053
26,20271.6,0.87332,1.01446,1.21694,0.72166,0.44567,0.57131,0.39647,1.2461,1.68253,1.61173,0.000561055,0.000561055,0.000561055
27,20638,0.84793,0.95082,1.21091,0.61759,0.53241,0.55865,0.40582,1.21254,1.70152,1.5974,0.000539057,0.000539057,0.000539057
28,21013.9,0.82832,0.95157,1.18701,0.61965,0.45772,0.53514,0.39059,1.22611,1.62623,1.58318,0.000517059,0.000517059,0.000517059
29,21378.5,0.79792,0.92833,1.17147,0.63913,0.54931,0.56283,0.39337,1.20035,1.68647,1.57144,0.000495062,0.000495062,0.000495062
30,21741.8,0.81567,0.90452,1.18552,0.71777,0.49443,0.57687,0.40822,1.23825,1.65096,1.58407,0.000473064,0.000473064,0.000473064
31,22102.8,0.8001,0.87702,1.17792,0.64579,0.52499,0.56582,0.40915,1.22259,1.5764,1.5497,0.000451066,0.000451066,0.000451066
32,22467.6,0.8009,0.86474,1.1602,0.66124,0.54539,0.58301,0.42307,1.18195,1.55964,1.53829,0.000429068,0.000429068,0.000429068
33,22844,0.76628,0.82596,1.14829,0.68008,0.50874,0.57093,0.4279,1.17523,1.58104,1.54617,0.00040707,0.00040707,0.00040707
34,23210.3,0.75011,0.8164,1.13347,0.61726,0.54398,0.54528,0.38453,1.22,1.60085,1.57221,0.000385073,0.000385073,0.000385073
35,23577.2,0.76634,0.80073,1.14375,0.66029,0.54172,0.56355,0.42475,1.13225,1.56291,1.50349,0.000363075,0.000363075,0.000363075
36,23947.6,0.74174,0.77194,1.13404,0.56831,0.56916,0.5554,0.40767,1.15735,1.67765,1.49593,0.000341077,0.000341077,0.000341077
37,24328.9,0.72827,0.79264,1.13021,0.73411,0.52931,0.57248,0.41054,1.16574,1.55581,1.53465,0.000319079,0.000319079,0.000319079
38,24704.1,0.70491,0.75723,1.11776,0.64562,0.59104,0.58383,0.42921,1.15171,1.52894,1.50696,0.000297081,0.000297081,0.000297081
39,25071.3,0.72261,0.73431,1.11436,0.56232,0.55298,0.54322,0.40222,1.21082,1.67363,1.54049,0.000275084,0.000275084,0.000275084
40,25431.5,0.70452,0.72853,1.10715,0.6113,0.54722,0.5704,0.41991,1.14425,1.57827,1.48618,0.000253086,0.000253086,0.000253086
41,25786.2,0.63435,0.61079,1.06589,0.66813,0.51894,0.57145,0.41955,1.15376,1.72787,1.51708,0.000231088,0.000231088,0.000231088
42,26143.6,0.60781,0.55661,1.03807,0.72633,0.52038,0.58579,0.42714,1.16092,1.64122,1.512,0.00020909,0.00020909,0.00020909
43,26504.6,0.60207,0.55738,1.04145,0.70193,0.51036,0.57317,0.42653,1.15478,1.59025,1.51732,0.000187092,0.000187092,0.000187092
44,26863.8,0.59498,0.54084,1.03601,0.61232,0.56505,0.579,0.43357,1.13491,1.67411,1.50514,0.000165095,0.000165095,0.000165095
45,27223.9,0.56245,0.50494,1.00883,0.69381,0.50754,0.57797,0.43938,1.15085,1.6186,1.5139,0.000143097,0.000143097,0.000143097
46,27586,0.55944,0.49905,1.00204,0.64557,0.57175,0.5857,0.43887,1.1408,1.54931,1.51475,0.000121099,0.000121099,0.000121099
47,27943,0.5427,0.48,1.00431,0.57234,0.6426,0.60634,0.44381,1.13527,1.55407,1.50123,9.91012e-05,9.91012e-05,9.91012e-05
48,28295.6,0.53672,0.47262,0.98623,0.68829,0.51638,0.59923,0.44902,1.11945,1.58238,1.49265,7.71034e-05,7.71034e-05,7.71034e-05
49,28647.5,0.53824,0.4676,0.99469,0.58514,0.61569,0.60341,0.45689,1.12941,1.58718,1.4993,5.51056e-05,5.51056e-05,5.51056e-05
50,29024.9,0.51604,0.45677,0.97387,0.66772,0.55141,0.59462,0.45234,1.12483,1.56383,1.49477,3.31078e-05,3.31078e-05,3.31078e-05
